*/	WT1	WT2	WT3	KO1	KO2	KO3
ENSG00000272455	170	140	91	113	208	86
ENSG00000235098	820	1041	743	594	787	629
ENSG00000225905	2	1	2	8	7	9
ENSG00000205116	0	10	2	5	9	3
ENSG00000225285	13	44	30	8	6	6
ENSG00000179403	1574	2330	1775	1289	1644	1592
ENSG00000215915	467	483	345	156	169	141
ENSG00000160072	1804	1945	1392	1588	2509	1681
ENSG00000284740	7	6	7	3	7	5
ENSG00000197785	1221	1264	970	1557	2044	2086
ENSG00000205090	2	0	0	10	5	5
ENSG00000160075	4651	4585	3072	3363	2972	2854
ENSG00000215014	20	10	13	10	10	11
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	37	67	38	184	169	215
ENSG00000286989	9	14	8	22	32	21
ENSG00000272106	82	80	81	113	124	92
ENSG00000197530	892	786	555	653	1122	1073
ENSG00000189409	0	0	0	0	1	0
ENSG00000248333	1449	1344	833	976	1243	951
ENSG00000272004	17	16	11	4	4	2
ENSG00000189339	3548	3487	2419	2047	2064	1732
ENSG00000269737	0	1	0	1	0	0
ENSG00000215914	0	0	0	0	0	0
ENSG00000008128	40	51	30	12	70	33
ENSG00000268575	44	45	39	25	39	14
ENSG00000227775	0	1	2	0	3	0
ENSG00000215790	488	446	350	302	372	217
ENSG00000008130	3052	3174	2256	2616	2799	2369
ENSG00000078369	7596	8611	6075	10990	8545	8527
ENSG00000231050	3	4	11	1	2	1
ENSG00000169885	12	8	5	1	2	0
ENSG00000178821	484	605	450	376	380	350
ENSG00000142609	18	23	24	9	16	16
ENSG00000233542	1	2	0	0	0	0
ENSG00000187730	0	0	0	1	0	0
ENSG00000226969	1	1	0	0	0	0
ENSG00000067606	4826	4732	3093	1934	1828	1583
ENSG00000271806	0	0	1	0	0	0
ENSG00000182873	14	16	6	3	11	5
ENSG00000162585	551	866	618	505	825	665
ENSG00000234396	0	0	0	0	0	0
ENSG00000157933	2749	3468	2687	2001	1661	1797
ENSG00000287356	1	3	2	0	1	1
ENSG00000116151	149	175	131	150	147	98
ENSG00000272161	0	0	0	0	0	0
ENSG00000269896	18	12	11	20	17	29
ENSG00000272420	0	12	3	3	3	1
ENSG00000157916	6541	5933	4007	3223	3643	2751
ENSG00000157911	1131	1414	887	1407	1548	1343
ENSG00000149527	285	190	144	11	9	5
ENSG00000224387	2	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0
ENSG00000157881	602	641	511	562	663	516
ENSG00000197921	5	7	1	0	0	0
ENSG00000272449	5	8	10	8	3	3
ENSG00000238164	265	348	236	21	30	27
ENSG00000157873	768	1132	789	183	333	167
ENSG00000225931	0	1	1	0	1	2
ENSG00000228037	1	1	0	0	0	0
ENSG00000157870	1238	1681	1106	1349	1354	1305
ENSG00000142606	6	23	11	1	3	1
ENSG00000237058	0	0	0	0	0	0
ENSG00000215912	4	3	4	2	4	4
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	4	1	2	0	1	0
ENSG00000142611	1	2	0	0	0	0
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000272235	24	7	6	7	12	3
ENSG00000287828	190	148	101	92	80	78
ENSG00000286518	0	0	0	0	0	0
ENSG00000130762	2095	1917	1365	736	871	805
ENSG00000272088	13	8	8	3	4	2
ENSG00000162591	1685	1679	1239	1029	1671	1104
ENSG00000207776	1	1	0	0	2	1
ENSG00000238260	11	3	12	7	22	3
ENSG00000158109	2883	2709	1832	2257	1974	1865
ENSG00000116213	799	1037	730	961	1360	886
ENSG00000078900	29	35	33	103	88	122
ENSG00000227589	1	3	4	5	11	0
ENSG00000235131	0	0	0	0	0	0
ENSG00000227372	952	974	723	1104	1701	952
ENSG00000276189	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	0	0
ENSG00000235169	117	166	135	134	157	159
ENSG00000130764	2271	2862	1974	2092	2069	1894
ENSG00000266075	10	5	2	1	2	0
ENSG00000272153	48	27	17	9	4	8
ENSG00000116198	1605	1563	1061	1282	1081	1062
ENSG00000169598	371	427	307	379	443	333
ENSG00000198912	861	965	697	1003	897	743
ENSG00000236423	150	39	34	49	54	59
ENSG00000233304	0	0	0	1	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000284668	9	5	6	0	1	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0
ENSG00000287586	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0
ENSG00000131697	593	620	454	1099	1291	1042
ENSG00000069424	1339	1851	1238	1348	1803	1312
ENSG00000116254	25	17	6	5	8	8
ENSG00000285629	0	0	0	0	0	0
ENSG00000116251	5121	6468	4840	5739	4003	4013
ENSG00000226944	0	1	2	0	6	1
ENSG00000158286	771	733	473	259	433	216
ENSG00000116237	2748	3106	2337	4118	3390	3320
ENSG00000225077	6	6	3	14	5	7
ENSG00000173673	0	0	0	0	0	0
ENSG00000158292	117	96	78	39	23	30
ENSG00000097021	838	1150	868	2084	1770	1875
ENSG00000271746	6	3	4	2	1	2
ENSG00000069812	3	7	3	0	1	1
ENSG00000187017	643	800	593	524	570	660
ENSG00000265392	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	3
ENSG00000215788	6	11	12	3	21	7
ENSG00000171680	38	59	49	68	94	70
ENSG00000162408	763	931	576	763	833	621
ENSG00000253022	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0
ENSG00000173662	6	17	6	16	13	19
ENSG00000204859	631	707	458	385	460	282
ENSG00000162413	2947	3709	2794	2124	2484	1948
ENSG00000116273	1035	1014	757	1160	834	839
ENSG00000041988	567	593	414	337	344	348
ENSG00000007923	2930	3385	2329	3415	3809	2917
ENSG00000228750	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0
ENSG00000237436	8	12	10	10	15	9
ENSG00000171735	1065	1048	707	834	881	675
ENSG00000227950	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0
ENSG00000270171	1	1	1	1	1	1
ENSG00000270035	2	0	4	10	3	2
ENSG00000269978	24	23	21	16	30	10
ENSG00000049245	2703	2898	2185	3468	3012	2489
ENSG00000269925	6	9	8	6	11	1
ENSG00000049246	872	990	788	1417	1252	1077
ENSG00000236266	0	0	0	0	0	0
ENSG00000049247	0	0	0	0	0	0
ENSG00000049249	10	1	4	3	0	3
ENSG00000270330	0	0	0	0	0	0
ENSG00000116288	6397	6511	4509	7090	5873	6038
ENSG00000200344	0	0	0	0	0	0
ENSG00000284747	59	55	44	27	58	31
ENSG00000284716	0	0	0	0	0	0
ENSG00000116285	17982	19263	14430	9402	4689	7495
ENSG00000238290	20	15	10	3	3	2
ENSG00000232848	1	2	0	3	1	0
ENSG00000229305	1	0	0	0	0	0
ENSG00000227634	0	0	0	0	2	0
ENSG00000200975	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0
ENSG00000162426	1	3	3	1	0	0
ENSG00000252254	0	0	0	0	0	0
ENSG00000142599	3799	4139	2923	3592	3992	2928
ENSG00000232912	1	0	2	0	0	0
ENSG00000221083	1	0	0	0	0	0
ENSG00000270282	0	0	0	0	0	0
ENSG00000234619	0	1	0	0	0	0
ENSG00000224315	0	2	1	0	0	0
ENSG00000222511	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0
ENSG00000228423	0	1	1	0	0	2
ENSG00000229716	0	0	0	0	0	0
ENSG00000074800	37915	44966	29865	72103	64490	60954
ENSG00000274258	0	2	0	1	0	0
ENSG00000230679	2	0	2	1	3	1
ENSG00000201725	0	0	0	0	0	0
ENSG00000238249	0	0	0	2	0	0
ENSG00000232208	3	0	3	1	1	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0
ENSG00000142583	1	0	0	0	1	0
ENSG00000252404	0	0	0	0	0	0
ENSG00000180758	623	454	365	279	265	221
ENSG00000228526	1639	1443	1026	478	1357	339
ENSG00000284357	0	0	0	0	0	0
ENSG00000234546	45	99	36	22	35	24
ENSG00000049239	1277	1259	927	1235	1122	1076
ENSG00000171621	1014	921	679	460	371	440
ENSG00000284652	0	0	0	0	0	0
ENSG00000284693	0	1	1	3	0	0
ENSG00000252956	0	0	0	0	0	0
ENSG00000235263	56	45	24	16	4	7
ENSG00000171612	3511	4025	2736	4138	2581	3135
ENSG00000231181	40	22	15	23	59	13
ENSG00000188807	820	1051	843	1076	1331	1193
ENSG00000171608	1421	1476	1011	1303	1317	1026
ENSG00000179840	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000231789	266	288	182	196	117	179
ENSG00000171603	4172	5283	3688	5166	3965	4451
ENSG00000271264	0	0	0	0	0	0
ENSG00000280113	1	1	0	0	0	0
ENSG00000178585	1777	1883	1316	2451	1596	2042
ENSG00000223989	0	0	1	0	0	0
ENSG00000285701	0	0	1	0	0	0
ENSG00000162441	2700	3025	2229	2460	2137	1735
ENSG00000228150	1	5	0	5	2	2
ENSG00000173614	315	397	271	321	287	242
ENSG00000202415	1	2	2	0	3	4
ENSG00000283611	0	0	0	0	0	0
ENSG00000265521	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000162444	28	27	14	38	21	30
ENSG00000130939	3945	3697	2578	3943	2959	3055
ENSG00000224340	0	0	0	0	0	0
ENSG00000233623	1	0	1	0	1	2
ENSG00000201746	1	0	0	0	0	0
ENSG00000054523	2612	3081	2360	4721	3463	3616
ENSG00000264881	0	0	0	0	0	0
ENSG00000199562	0	0	0	0	1	0
ENSG00000264501	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	0	0
ENSG00000284642	94	72	40	19	31	17
ENSG00000142657	9334	9740	6482	15598	8897	12948
ENSG00000271989	0	0	0	2	1	0
ENSG00000251503	0	0	0	0	0	0
ENSG00000175279	8	13	9	34	19	11
ENSG00000241563	1	4	1	1	0	0
ENSG00000160049	1803	2317	1697	1719	1551	1337
ENSG00000203469	0	0	0	0	0	0
ENSG00000142655	823	833	630	691	722	716
ENSG00000287727	0	0	0	0	0	0
ENSG00000243267	0	0	0	0	2	0
ENSG00000130940	234	432	273	56	76	80
ENSG00000272078	2	2	0	0	0	0
ENSG00000225158	0	0	0	0	0	0
ENSG00000175262	0	0	0	0	0	0
ENSG00000215785	0	0	0	0	0	0
ENSG00000120948	2588	2885	2178	3083	3358	2194
ENSG00000277726	0	0	0	0	0	0
ENSG00000009724	776	967	683	638	726	596
ENSG00000271895	86	83	54	31	53	27
ENSG00000116649	3509	4699	3249	3402	3406	2830
ENSG00000171824	3160	3154	1953	3520	3616	2852
ENSG00000226849	20	24	6	2	9	3
ENSG00000230337	12	9	10	15	5	6
ENSG00000198793	5001	4708	3287	3893	3416	3172
ENSG00000225602	0	0	0	0	0	0
ENSG00000253086	0	0	0	0	0	0
ENSG00000171819	0	0	0	0	0	0
ENSG00000207451	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	0	0
ENSG00000120942	2413	2831	2028	1602	1219	1343
ENSG00000238199	0	0	0	0	0	0
ENSG00000284646	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000204624	0	3	5	2	1	2
ENSG00000285833	0	0	0	0	0	0
ENSG00000235643	0	0	1	2	0	0
ENSG00000284708	0	0	0	0	0	0
ENSG00000116661	2950	2154	1644	482	747	500
ENSG00000132879	1592	1390	918	530	806	429
ENSG00000116663	211	241	164	151	108	132
ENSG00000116670	1451	1755	1210	1724	1462	1475
ENSG00000162490	1	0	1	0	1	0
ENSG00000177674	312	594	389	804	809	674
ENSG00000215910	1	1	0	1	2	0
ENSG00000177553	0	0	0	0	0	0
ENSG00000177000	586	673	510	329	188	266
ENSG00000011021	2947	2441	1638	1915	1195	1523
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
ENSG00000175206	1	1	0	0	0	0
ENSG00000275915	0	0	0	0	0	0
ENSG00000120937	0	1	1	1	0	2
ENSG00000224904	0	0	0	0	0	0
ENSG00000285646	1	0	4	0	0	1
ENSG00000199347	0	0	0	0	0	0
ENSG00000201801	0	0	0	0	0	0
ENSG00000116685	4742	5949	4321	4402	4071	4512
ENSG00000083444	6303	6441	4453	7989	6907	6970
ENSG00000287384	0	0	0	0	0	0
ENSG00000116688	2983	3118	2236	4916	4412	4163
ENSG00000270914	0	0	0	0	0	0
ENSG00000116691	515	745	505	871	1167	933
ENSG00000202461	0	0	0	0	0	0
ENSG00000276869	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0
ENSG00000120949	0	0	0	0	0	0
ENSG00000201135	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0
ENSG00000028137	0	0	0	0	0	0
ENSG00000263676	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	1209	1586	1253	1137	826	946
ENSG00000239149	3	0	1	2	0	0
ENSG00000229484	6	3	1	1	1	2
ENSG00000162496	6532	6895	4764	947	529	805
ENSG00000221340	27	15	7	3	1	0
ENSG00000276830	9	3	5	0	2	1
ENSG00000272482	28	29	18	10	6	11
ENSG00000204518	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0
ENSG00000116726	6	1	2	30	3	12
ENSG00000116721	1	5	5	19	4	10
ENSG00000228338	0	0	0	0	0	0
ENSG00000239810	0	0	0	5	0	3
ENSG00000231103	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	1	5
ENSG00000120952	6	7	3	33	14	24
ENSG00000243073	0	0	0	2	2	5
ENSG00000187545	0	0	0	2	0	0
ENSG00000204510	0	1	0	0	1	4
ENSG00000207434	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0
ENSG00000232423	1	0	0	3	1	5
ENSG00000274178	2	0	0	5	4	4
ENSG00000274764	1	0	1	15	2	6
ENSG00000277058	0	0	0	5	1	3
ENSG00000229571	0	0	0	1	1	0
ENSG00000277862	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0
ENSG00000275774	0	1	1	6	1	6
ENSG00000229978	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0
ENSG00000179412	0	0	0	0	0	0
ENSG00000204505	7	2	3	14	4	10
ENSG00000279169	0	0	0	0	1	1
ENSG00000279804	0	0	0	2	0	0
ENSG00000250894	0	0	0	0	0	1
ENSG00000270601	0	0	0	0	1	0
ENSG00000231219	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	3	0	0	17	5	13
ENSG00000237700	0	0	0	2	0	3
ENSG00000204501	0	1	0	3	2	2
ENSG00000228229	0	0	0	0	0	0
ENSG00000204481	2	1	1	19	5	16
ENSG00000204480	0	0	0	2	0	0
ENSG00000204479	0	0	0	0	0	0
ENSG00000204478	0	0	2	9	4	1
ENSG00000162494	0	0	0	0	0	0
ENSG00000259961	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0
ENSG00000162493	0	0	0	0	0	0
ENSG00000222952	0	0	0	0	0	0
ENSG00000237445	0	0	0	0	0	0
ENSG00000253085	0	0	0	0	0	0
ENSG00000116731	924	971	713	772	796	564
ENSG00000189337	1609	1127	826	1383	1220	1118
ENSG00000252151	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
ENSG00000234593	0	0	0	0	0	0
ENSG00000235829	0	0	0	0	0	0
ENSG00000287756	0	0	0	0	0	0
ENSG00000175147	132	200	140	54	122	51
ENSG00000171729	729	826	570	391	368	366
ENSG00000204464	0	0	0	0	0	1
ENSG00000215720	0	0	0	0	0	0
ENSG00000278480	0	1	3	0	0	0
ENSG00000142621	7	11	3	2	0	1
ENSG00000233485	3	0	2	0	1	0
ENSG00000236045	0	0	0	0	0	0
ENSG00000228140	0	0	0	1	0	1
ENSG00000142634	933	1164	812	942	1499	1048
ENSG00000162438	2	1	1	0	0	0
ENSG00000142615	0	0	0	0	0	0
ENSG00000215704	0	0	0	0	0	0
ENSG00000132906	602	730	478	437	421	361
ENSG00000116138	1094	1054	801	807	655	649
ENSG00000251866	0	0	1	0	0	0
ENSG00000272510	125	63	68	53	33	31
ENSG00000116771	1998	2235	1562	4821	4259	3955
ENSG00000237301	0	0	0	0	0	0
ENSG00000235084	0	1	1	1	2	4
ENSG00000252417	0	2	0	0	0	0
ENSG00000236500	0	0	0	0	0	0
ENSG00000197312	2196	2777	2151	3397	3080	2697
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	0	0	0	0	0
ENSG00000116786	1769	2337	1581	1448	1381	1369
ENSG00000237938	0	0	1	0	0	0
ENSG00000162461	2	1	0	0	0	0
ENSG00000224459	0	0	0	0	0	0
ENSG00000162460	4	7	1	7	4	4
ENSG00000162458	2048	1438	981	179	133	142
ENSG00000224321	1	1	1	0	0	0
ENSG00000233954	240	226	182	196	210	183
ENSG00000178715	2	4	0	4	3	0
ENSG00000179743	37	33	17	53	68	78
ENSG00000065526	4904	4716	3307	3956	3463	3227
ENSG00000270620	0	0	0	0	0	0
ENSG00000116809	800	864	647	497	616	536
ENSG00000234607	0	0	0	0	0	0
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	284	492	374	422	240	390
ENSG00000233078	0	3	0	0	0	0
ENSG00000173641	6	0	2	0	0	0
ENSG00000186510	0	0	0	1	0	0
ENSG00000232456	0	0	0	0	0	0
ENSG00000184908	0	0	0	0	0	0
ENSG00000185519	0	1	2	0	0	0
ENSG00000142627	4337	4443	3247	3350	2357	3065
ENSG00000227959	13	23	15	5	17	4
ENSG00000224621	15	15	8	4	4	4
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	198	212	161	187	192	183
ENSG00000237276	1	1	1	0	0	1
ENSG00000288398	26	50	43	26	21	22
ENSG00000132881	4	18	11	10	16	14
ENSG00000233929	0	0	1	0	0	0
ENSG00000037637	915	1033	753	781	673	654
ENSG00000055070	4188	4930	3582	4073	3751	3457
ENSG00000226457	0	1	1	0	0	0
ENSG00000187144	70	105	76	68	154	53
ENSG00000157191	1593	2024	1340	1307	1066	1138
ENSG00000226029	70	69	33	6	10	2
ENSG00000080947	85	88	53	55	151	44
ENSG00000206652	0	0	0	0	0	1
ENSG00000261135	2	5	8	4	3	3
ENSG00000285853	1	0	0	0	2	0
ENSG00000224174	0	0	0	0	0	0
ENSG00000233421	3	0	0	0	0	1
ENSG00000277344	0	0	0	0	0	0
ENSG00000225710	0	0	0	0	0	0
ENSG00000219481	6619	6592	4819	3682	3248	2839
ENSG00000271732	5	4	2	0	0	0
ENSG00000215908	2524	2969	2238	1922	3572	1918
ENSG00000283773	0	0	0	0	0	0
ENSG00000186301	26410	22152	15134	15881	28769	15132
ENSG00000282143	0	0	0	0	0	0
ENSG00000207513	0	0	0	0	0	0
ENSG00000280114	34	38	42	32	78	11
ENSG00000236698	7	5	2	6	5	5
ENSG00000268869	32	80	48	33	79	64
ENSG00000279151	0	0	0	0	0	0
ENSG00000282740	0	0	0	0	0	0
ENSG00000058453	140	243	188	170	292	200
ENSG00000227684	0	0	0	0	2	0
ENSG00000207389	0	0	0	0	0	0
ENSG00000186715	6492	4830	3234	3709	7052	3436
ENSG00000223643	6	9	5	5	4	2
ENSG00000230239	1	0	0	1	0	0
ENSG00000263811	0	0	0	0	0	0
ENSG00000228549	1	1	2	0	1	0
ENSG00000277234	0	0	0	0	0	0
ENSG00000238142	0	0	0	0	0	0
ENSG00000235241	0	0	0	0	0	0
ENSG00000207005	0	0	0	0	0	0
ENSG00000272426	0	1	1	0	0	1
ENSG00000117122	19	5	7	20	20	22
ENSG00000286898	0	0	0	0	0	0
ENSG00000226526	0	0	0	0	0	0
ENSG00000159363	690	1180	808	1095	1174	1251
ENSG00000288636	0	0	0	0	0	0
ENSG00000117118	1920	1550	1062	1780	1546	1505
ENSG00000117115	0	0	0	0	0	0
ENSG00000204362	0	0	0	0	0	0
ENSG00000282843	0	0	0	0	0	0
ENSG00000142623	0	0	0	0	0	0
ENSG00000142619	0	0	0	0	0	0
ENSG00000266634	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	0	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000227751	0	0	0	0	1	1
ENSG00000179051	5342	5533	3960	4842	4670	3991
ENSG00000074964	3086	3506	2519	2359	3096	2371
ENSG00000236648	1	0	0	0	0	0
ENSG00000117148	2	28	9	11	8	11
ENSG00000284653	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0
ENSG00000117154	0	0	0	0	0	0
ENSG00000280222	0	0	0	0	0	0
ENSG00000230035	0	0	0	0	0	0
ENSG00000225387	0	0	0	0	0	0
ENSG00000179023	149	311	195	69	80	77
ENSG00000235282	0	0	0	0	0	0
ENSG00000225478	0	0	0	0	0	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000179002	0	0	0	0	0	0
ENSG00000159423	2152	2974	2083	4550	4734	4408
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	0	0	0	0
ENSG00000169991	920	963	698	1246	1200	1063
ENSG00000272084	27	9	9	4	7	0
ENSG00000127481	12997	9631	6740	9970	7670	7241
ENSG00000230424	51	34	27	7	22	6
ENSG00000127463	2503	3116	2050	5645	4661	4543
ENSG00000053372	3094	4272	2759	4038	3692	3153
ENSG00000286064	0	0	0	0	0	0
ENSG00000211454	52	34	21	11	55	16
ENSG00000162482	21	13	18	8	35	5
ENSG00000270728	0	0	0	0	0	0
ENSG00000053371	700	912	657	1662	1449	1537
ENSG00000200403	1	1	0	5	2	1
